date,total visits,direct,referral,organic,email,cpc,banner,facebook.com,pinterest.com,twitter.com,blog.eleanorsnyc.com,velojoy.com,ivajean.com,momentummag.com,total sales,skirt-garter,bobbin-pannier,rain-cap,mirror-with-reflector,rain-cape,skirt-guard,wine-rack
4/1/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/11/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/15/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/16/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/17/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/18/2012,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/2012,54,33,18,0,3,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4/20/2012,30,18,8,1,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4/21/2012,8,5,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4/22/2012,16,8,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/23/2012,8,2,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
4/24/2012,24,9,10,1,4,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0
4/25/2012,17,3,12,2,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0
4/26/2012,36,14,21,1,0,0,0,1,4,0,3,0,0,0,1,0,0,1,0,0,0,0
4/27/2012,15,7,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4/28/2012,10,3,6,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4/29/2012,23,12,9,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4/30/2012,35,11,19,5,0,0,0,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2012,31,13,18,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0
5/2/2012,51,11,35,5,0,0,0,4,0,0,3,0,0,0,2,0,0,0,0,0,0,0
5/3/2012,25,4,20,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5/4/2012,29,6,20,3,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5/5/2012,10,2,3,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/6/2012,22,8,8,6,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5/7/2012,24,6,9,9,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0
5/8/2012,43,12,18,13,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5/9/2012,17,3,5,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5/10/2012,20,3,9,5,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/11/2012,83,5,27,8,43,0,0,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0
5/12/2012,25,9,7,3,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5/13/2012,27,4,12,6,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5/14/2012,26,6,16,2,2,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5/15/2012,52,9,38,5,0,0,0,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0
5/16/2012,34,11,19,3,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2012,32,6,20,5,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2012,35,5,22,7,1,0,0,10,2,1,2,0,0,0,0,0,0,0,0,0,0,0
5/19/2012,25,7,11,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/2012,24,5,9,10,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2012,21,4,13,4,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5/22/2012,24,0,13,11,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2012,22,2,16,4,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0
5/24/2012,24,1,20,3,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0
5/25/2012,35,9,15,7,4,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5/26/2012,29,8,15,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2012,24,8,11,5,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
5/28/2012,22,4,11,6,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
5/29/2012,16,3,9,4,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0
5/30/2012,15,5,8,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2012,65,35,20,7,3,0,0,10,0,0,6,0,0,0,1,0,0,1,0,0,0,0
6/1/2012,39,12,20,7,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0
6/2/2012,24,10,11,3,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6/3/2012,32,12,10,10,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6/4/2012,70,11,54,4,1,0,0,4,0,5,3,0,0,37,0,0,0,0,0,0,0,0
6/5/2012,36,12,19,5,0,0,0,6,0,0,3,0,0,5,0,0,0,0,0,0,0,0
6/6/2012,44,18,20,6,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6/7/2012,33,6,21,6,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6/8/2012,34,10,19,5,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6/9/2012,30,7,16,7,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0
6/10/2012,30,11,12,7,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0
6/11/2012,31,11,14,6,0,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0
6/12/2012,25,10,7,6,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6/13/2012,102,39,19,42,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/14/2012,77,29,22,17,1,8,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0
6/15/2012,65,19,20,5,2,19,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
6/16/2012,101,16,32,9,0,44,0,10,0,1,8,0,0,0,0,0,0,0,0,0,0,0
6/17/2012,107,11,27,12,0,57,0,9,0,0,10,0,0,0,1,0,0,0,0,0,0,0
6/18/2012,59,14,23,7,0,15,0,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0
6/19/2012,66,18,20,13,3,12,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0
6/20/2012,59,6,9,8,23,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6/21/2012,39,10,6,6,6,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6/22/2012,49,18,9,9,3,10,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2012,42,11,13,8,1,9,0,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0
6/24/2012,31,5,6,9,0,11,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
6/25/2012,41,18,15,2,3,3,0,0,0,0,7,0,0,4,1,0,0,0,0,0,0,0
6/26/2012,57,26,19,8,4,0,0,0,1,0,7,0,0,4,0,0,0,0,0,0,0,0
6/27/2012,73,23,18,11,21,0,0,2,1,0,6,0,0,0,1,0,0,0,0,0,0,0
6/28/2012,57,14,20,13,10,0,0,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0
6/29/2012,35,17,3,8,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6/30/2012,37,12,10,9,6,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
7/1/2012,24,4,2,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
